instance, n_jobs, fitness, pct_dev, neighborhood_order, time_ms
ta087,100,388822,4.12792,tei,1085.2
ta087,100,388822,4.12792,tei,1119.15
ta087,100,388822,4.12792,tei,1119.51
ta087,100,391156,4.75298,tie,1006.12
ta087,100,391156,4.75298,tie,1015.91
ta087,100,391156,4.75298,tie,1028.91
ta087,100,391156,4.75298,tie,1034.28
ta087,100,391156,4.75298,tie,1021.44
ta087,100,391156,4.75298,tie,1035.62
ta087,100,391156,4.75298,tie,1057.94
ta087,100,391156,4.75298,tie,1044.39
ta087,100,391156,4.75298,tie,1051.78
ta087,100,391156,4.75298,tie,1077.92
ta088,100,397023,3.25024,tei,1014.93
ta088,100,397023,3.25024,tei,1024.74
ta088,100,397023,3.25024,tei,1046.49
ta088,100,397023,3.25024,tei,1043.52
ta088,100,397023,3.25024,tei,1042.24
ta088,100,397023,3.25024,tei,1065.49
ta088,100,397023,3.25024,tei,1058.8
ta088,100,397023,3.25024,tei,1086.34
ta088,100,397023,3.25024,tei,1075.58
ta088,100,397023,3.25024,tei,1092.23
ta088,100,397484,3.37013,tie,1761.78
ta088,100,397484,3.37013,tie,1760.22
ta088,100,397484,3.37013,tie,1755.85
ta088,100,397484,3.37013,tie,1791
ta088,100,397484,3.37013,tie,1808.06
ta088,100,397484,3.37013,tie,1801.67
ta088,100,397484,3.37013,tie,1817.89
ta088,100,397484,3.37013,tie,1822.93
ta088,100,397484,3.37013,tie,1833.06
ta088,100,397484,3.37013,tie,1834.17
ta089,100,388296,3.70517,tei,614.203
ta089,100,388296,3.70517,tei,647.11
ta089,100,388296,3.70517,tei,646.783
ta089,100,388296,3.70517,tei,667.724
ta089,100,388296,3.70517,tei,664.105
ta089,100,388296,3.70517,tei,653.961
ta089,100,388296,3.70517,tei,678.184
ta089,100,388296,3.70517,tei,680.629
ta089,100,388296,3.70517,tei,672.698
ta089,100,388296,3.70517,tei,682.802
ta089,100,388456,3.7479,tie,1562.17
